Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
PUT,/api/estudiantes/7/,4,0,36,37.28029999547289,35.32939999422524,39.50210000039078,88.0,0.03844068233204623,0.0,38,38,40,40,40,40,40,40,40,40,40
GET,/api/estudiantes/8/,2,0,30.27489999658428,32.19369999715127,30.27489999658428,34.11249999771826,88.0,0.019220341166023114,0.0,34,34,34,34,34,34,34,34,34,34,34
PUT,/api/estudiantes/8/,6,0,34,35.986699998223536,32.172899998840876,44.18729999451898,88.0,0.057661023498069335,0.0,35,35,37,37,44,44,44,44,44,44,44
GET,/api/estudiantes/9/,2,0,31.47609998995904,32.76569999434287,31.47609998995904,34.055299998726696,88.0,0.019220341166023114,0.0,34,34,34,34,34,34,34,34,34,34,34
PUT,/api/estudiantes/9/,4,0,36,60.93877499733935,33.030099992174655,135.0386999984039,88.0,0.03844068233204623,0.0,39,39,140,140,140,140,140,140,140,140,140
GET,/api/estudiantes/?carrera=Software,151,0,36,42.60285894029129,30.5520000110846,150.97940000123344,991.9072847682119,1.451135758034745,0.0,36,37,39,40,44,130,140,140,150,150,150
GET,/api/estudiantes/promedio-general/,131,0,34,36.52886412262416,29.106199988746084,136.14599998982158,47.80916030534351,1.258932346374514,0.0,34,36,37,38,41,44,48,130,140,140,140
GET,/api/health/,60,60,5,4.970805001357803,3.471900010481477,10.553100000834092,5725.0,0.5766102349806934,0.5766102349806934,5,5,5,6,7,8,10,11,11,11,11
GET,/api/metricas/,62,0,34,42.52536612846363,29.238999995868653,140.69410000229254,144.93548387096774,0.5958305761467165,0.0,34,36,37,37,42,130,130,140,140,140,140
,Aggregated,854,60,35,37.1654509367939,3.471900010481477,152.21619998919778,866.251756440281,8.207085677891868,0.5766102349806934,35,36,38,39,42,50,130,140,150,150,150
